transaction_id,transaction_date,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail
17426,2/1/2023,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg
17435,2/1/2023,8,Hell's Kitchen,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
17437,2/1/2023,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg
17439,2/1/2023,8,Hell's Kitchen,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
17441,2/1/2023,8,Hell's Kitchen,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
17444,2/1/2023,3,Astoria,26,3,Coffee,Organic brewed coffee,Brazilian Rg
17445,2/1/2023,3,Astoria,40,3.75,Coffee,Barista Espresso,Cappuccino
17446,2/1/2023,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg
17458,2/1/2023,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
17465,2/1/2023,8,Hell's Kitchen,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
17466,2/1/2023,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
17470,2/1/2023,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg
17477,2/1/2023,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
17483,2/1/2023,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
17485,2/1/2023,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
17486,2/1/2023,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
17490,2/1/2023,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
17493,2/1/2023,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
17494,2/1/2023,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
17505,2/1/2023,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
17506,2/1/2023,3,Astoria,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
17508,2/1/2023,8,Hell's Kitchen,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
17516,2/1/2023,3,Astoria,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
17522,2/1/2023,8,Hell's Kitchen,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
17524,2/1/2023,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
17526,2/1/2023,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
17528,2/1/2023,3,Astoria,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
17529,2/1/2023,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
17530,2/1/2023,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg
17532,2/1/2023,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
17534,2/1/2023,8,Hell's Kitchen,37,3,Coffee,Barista Espresso,Espresso shot
17535,2/1/2023,3,Astoria,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
17539,2/1/2023,3,Astoria,41,4.25,Coffee,Barista Espresso,Cappuccino Lg
17544,2/1/2023,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg
17549,2/1/2023,3,Astoria,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
17561,2/1/2023,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
17563,2/1/2023,5,Lower Manhattan,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
17565,2/1/2023,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
17566,2/1/2023,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte
17567,2/1/2023,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg
17568,2/1/2023,8,Hell's Kitchen,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
17579,2/1/2023,3,Astoria,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
17581,2/1/2023,5,Lower Manhattan,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
17586,2/1/2023,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
17596,2/1/2023,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg
17597,2/1/2023,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg
17603,2/1/2023,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
17608,2/1/2023,3,Astoria,26,3,Coffee,Organic brewed coffee,Brazilian Rg
17614,2/1/2023,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
17615,2/1/2023,8,Hell's Kitchen,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
17616,2/1/2023,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
17624,2/1/2023,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
17626,2/1/2023,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
17627,2/1/2023,8,Hell's Kitchen,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
17629,2/1/2023,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
17635,2/1/2023,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
17639,2/1/2023,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
17640,2/1/2023,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
17641,2/1/2023,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
17642,2/1/2023,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
17647,2/1/2023,8,Hell's Kitchen,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
17650,2/1/2023,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
17651,2/1/2023,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
17653,2/1/2023,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino
17659,2/1/2023,3,Astoria,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
17664,2/1/2023,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
17671,2/1/2023,3,Astoria,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
17672,2/1/2023,3,Astoria,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
17673,2/1/2023,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
17682,2/1/2023,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
17686,2/1/2023,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
17693,2/1/2023,3,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg
17698,2/1/2023,8,Hell's Kitchen,37,3,Coffee,Barista Espresso,Espresso shot
17717,2/1/2023,8,Hell's Kitchen,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
17718,2/1/2023,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
17719,2/1/2023,8,Hell's Kitchen,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
17720,2/1/2023,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
17726,2/1/2023,3,Astoria,41,4.25,Coffee,Barista Espresso,Cappuccino Lg
17735,2/1/2023,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
17738,2/1/2023,8,Hell's Kitchen,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
17741,2/1/2023,8,Hell's Kitchen,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
17742,2/1/2023,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
17743,2/1/2023,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
17747,2/1/2023,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
17756,2/1/2023,3,Astoria,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
17762,2/1/2023,8,Hell's Kitchen,49,3,Tea,Brewed Black tea,English Breakfast Lg
17764,2/1/2023,5,Lower Manhattan,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
17766,2/1/2023,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
17767,2/1/2023,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
17769,2/1/2023,8,Hell's Kitchen,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
17781,2/1/2023,3,Astoria,41,4.25,Coffee,Barista Espresso,Cappuccino Lg
17782,2/1/2023,5,Lower Manhattan,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
17783,2/1/2023,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
17785,2/1/2023,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot
17787,2/1/2023,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
17788,2/1/2023,8,Hell's Kitchen,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
17791,2/1/2023,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
17793,2/1/2023,3,Astoria,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
17795,2/1/2023,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg
17801,2/1/2023,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg
17803,2/1/2023,3,Astoria,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
17805,2/1/2023,8,Hell's Kitchen,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
17807,2/1/2023,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
17808,2/1/2023,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg
17809,2/1/2023,3,Astoria,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
17812,2/1/2023,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
17816,2/1/2023,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
17818,2/1/2023,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
17819,2/1/2023,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
17824,2/1/2023,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg
17826,2/1/2023,3,Astoria,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
17828,2/1/2023,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg
17833,2/1/2023,8,Hell's Kitchen,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
17848,2/1/2023,3,Astoria,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
17854,2/1/2023,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte
17862,2/1/2023,3,Astoria,51,3,Tea,Brewed Black tea,Earl Grey Lg
17865,2/1/2023,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino
17869,2/1/2023,3,Astoria,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
17870,2/1/2023,3,Astoria,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
17871,2/1/2023,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
17873,2/1/2023,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte
17875,2/1/2023,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
17876,2/1/2023,8,Hell's Kitchen,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
17877,2/1/2023,3,Astoria,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
17879,2/1/2023,3,Astoria,26,3,Coffee,Organic brewed coffee,Brazilian Rg
17880,2/1/2023,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg
17888,2/1/2023,3,Astoria,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
17889,2/1/2023,3,Astoria,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
17890,2/2/2023,5,Lower Manhattan,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
17893,2/2/2023,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
17895,2/2/2023,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
17896,2/2/2023,5,Lower Manhattan,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
17901,2/2/2023,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg
17902,2/2/2023,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
17906,2/2/2023,8,Hell's Kitchen,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
17914,2/2/2023,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg
17916,2/2/2023,8,Hell's Kitchen,26,3,Coffee,Organic brewed coffee,Brazilian Rg
17919,2/2/2023,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
17921,2/2/2023,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
17925,2/2/2023,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
17926,2/2/2023,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
17930,2/2/2023,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
17931,2/2/2023,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
17932,2/2/2023,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
17933,2/2/2023,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
17935,2/2/2023,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
17939,2/2/2023,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg
17940,2/2/2023,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
17943,2/2/2023,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
17944,2/2/2023,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
17950,2/2/2023,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg
17953,2/2/2023,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg
17954,2/2/2023,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
17956,2/2/2023,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
17958,2/2/2023,8,Hell's Kitchen,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
17964,2/2/2023,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
17965,2/2/2023,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
17966,2/2/2023,5,Lower Manhattan,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
17968,2/2/2023,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg
17971,2/2/2023,8,Hell's Kitchen,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
17975,2/2/2023,5,Lower Manhattan,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
17979,2/2/2023,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
17982,2/2/2023,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
17983,2/2/2023,8,Hell's Kitchen,49,3,Tea,Brewed Black tea,English Breakfast Lg
17986,2/2/2023,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
17991,2/2/2023,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
17993,2/2/2023,5,Lower Manhattan,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
17994,2/2/2023,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
17997,2/2/2023,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
17998,2/2/2023,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg
18000,2/2/2023,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
18005,2/2/2023,3,Astoria,40,3.75,Coffee,Barista Espresso,Cappuccino
18006,2/2/2023,3,Astoria,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
18009,2/2/2023,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
18011,2/2/2023,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte
18014,2/2/2023,3,Astoria,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
18015,2/2/2023,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
18017,2/2/2023,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg
18023,2/2/2023,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg
18024,2/2/2023,8,Hell's Kitchen,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
18032,2/2/2023,3,Astoria,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
18033,2/2/2023,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg
18037,2/2/2023,3,Astoria,41,4.25,Coffee,Barista Espresso,Cappuccino Lg
18039,2/2/2023,3,Astoria,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
18041,2/2/2023,3,Astoria,45,3,Tea,Brewed herbal tea,Peppermint Lg
18042,2/2/2023,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
18044,2/2/2023,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
18047,2/2/2023,3,Astoria,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg
18048,2/2/2023,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
18053,2/2/2023,8,Hell's Kitchen,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
18055,2/2/2023,8,Hell's Kitchen,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
18057,2/2/2023,8,Hell's Kitchen,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
18059,2/2/2023,3,Astoria,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
18064,2/2/2023,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
18069,2/2/2023,8,Hell's Kitchen,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
18075,2/2/2023,3,Astoria,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
18077,2/2/2023,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino
18080,2/2/2023,3,Astoria,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
18089,2/2/2023,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
18095,2/2/2023,8,Hell's Kitchen,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
18103,2/2/2023,8,Hell's Kitchen,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
18105,2/2/2023,5,Lower Manhattan,49,3,Tea,Brewed Black tea,English Breakfast Lg
18107,2/2/2023,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg
18108,2/2/2023,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
18111,2/2/2023,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
18112,2/2/2023,8,Hell's Kitchen,37,3,Coffee,Barista Espresso,Espresso shot
18113,2/2/2023,3,Astoria,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
18122,2/2/2023,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
18123,2/2/2023,8,Hell's Kitchen,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
18125,2/2/2023,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte
18128,2/2/2023,3,Astoria,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
18129,2/2/2023,8,Hell's Kitchen,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
18134,2/2/2023,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
18137,2/2/2023,3,Astoria,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
18138,2/2/2023,8,Hell's Kitchen,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
18140,2/2/2023,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg
18147,2/2/2023,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
18150,2/2/2023,8,Hell's Kitchen,26,3,Coffee,Organic brewed coffee,Brazilian Rg
18154,2/2/2023,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
18155,2/2/2023,5,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg
18156,2/2/2023,8,Hell's Kitchen,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
18158,2/2/2023,3,Astoria,39,4.25,Coffee,Barista Espresso,Latte Rg
18169,2/2/2023,3,Astoria,37,3,Coffee,Barista Espresso,Espresso shot
18171,2/2/2023,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
18172,2/2/2023,3,Astoria,40,3.75,Coffee,Barista Espresso,Cappuccino
18174,2/2/2023,3,Astoria,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
18182,2/2/2023,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
18185,2/2/2023,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
18186,2/2/2023,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg
18187,2/2/2023,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm
18193,2/2/2023,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
18194,2/2/2023,3,Astoria,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
18196,2/2/2023,5,Lower Manhattan,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
18198,2/2/2023,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
18202,2/2/2023,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
18203,2/2/2023,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
18206,2/2/2023,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
18208,2/2/2023,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
18218,2/2/2023,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
18224,2/2/2023,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
18226,2/2/2023,3,Astoria,40,3.75,Coffee,Barista Espresso,Cappuccino
18228,2/2/2023,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
